State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year
Florida,FL,8,HARRY S TRUMAN,48.8,281988,THOMAS E. DEWEY,33.6,194280,1948
Washington,WA,8,HARRY S TRUMAN,52.6,476165,THOMAS E. DEWEY,42.7,386314,1948
Montana,MT,4,HARRY S TRUMAN,53.1,119071,THOMAS E. DEWEY,43.1,96770,1948
Idaho,ID,4,HARRY S TRUMAN,50,107370,THOMAS E. DEWEY,47.3,101514,1948
Nevada,NV,3,HARRY S TRUMAN,50.4,31291,THOMAS E. DEWEY,47.3,29357,1948
California,CA,25,HARRY S TRUMAN,47.6,1913134,THOMAS E. DEWEY,47.1,1895269,1948
Utah,UT,4,HARRY S TRUMAN,54,149151,THOMAS E. DEWEY,45,124402,1948
Arizona,AZ,4,HARRY S TRUMAN,53.8,95251,THOMAS E. DEWEY,43.8,77597,1948
New Mexico,NM,4,HARRY S TRUMAN,56.4,105464,THOMAS E. DEWEY,42.9,80303,1948
Wyoming,WY,3,HARRY S TRUMAN,51.6,52354,THOMAS E. DEWEY,47.3,47947,1948
Colorado,CO,6,HARRY S TRUMAN,51.9,267288,THOMAS E. DEWEY,46.5,239714,1948
South Carolina,SC,8,HARRY S TRUMAN,24.1,34423,THOMAS E. DEWEY,3.8,5386,1948
Mississippi,MS,9,HARRY S TRUMAN,10.1,19384,THOMAS E. DEWEY,2.6,5043,1948
Louisiana,LA,10,HARRY S TRUMAN,32.7,136344,THOMAS E. DEWEY,17.5,72657,1948
Alabama,AL,11,HARRY S TRUMAN,1.2,2607,THOMAS E. DEWEY,19,40930,1948
Michigan,MI,19,HARRY S TRUMAN,47.6,1003448,THOMAS E. DEWEY,49.2,1038595,1948
North Dakota,ND,4,HARRY S TRUMAN,43.4,95812,THOMAS E. DEWEY,52.2,115139,1948
South Dakota,SD,4,HARRY S TRUMAN,47,117653,THOMAS E. DEWEY,51.8,129651,1948
Indiana,IN,13,HARRY S TRUMAN,48.8,807831,THOMAS E. DEWEY,49.6,821079,1948
Nebraska,NE,6,HARRY S TRUMAN,45.8,224165,THOMAS E. DEWEY,54.2,264774,1948
Kansas,KS,8,HARRY S TRUMAN,44.6,351902,THOMAS E. DEWEY,53.6,423039,1948
New Hampshire,NH,4,HARRY S TRUMAN,46.7,107995,THOMAS E. DEWEY,52.4,121299,1948
New York,NY,47,HARRY S TRUMAN,45,2780204,THOMAS E. DEWEY,46,2841163,1948
Pennsylvania,PA,35,HARRY S TRUMAN,46.9,1752426,THOMAS E. DEWEY,50.9,1902197,1948
New Jersey,NJ,16,HARRY S TRUMAN,45.9,895455,THOMAS E. DEWEY,50.3,981124,1948
Connecticut,CT,8,HARRY S TRUMAN,47.9,423297,THOMAS E. DEWEY,49.5,437754,1948
Delaware,DE,3,HARRY S TRUMAN,48.8,67813,THOMAS E. DEWEY,50,69588,1948
Maine,ME,5,HARRY S TRUMAN,42.3,111916,THOMAS E. DEWEY,56.7,150234,1948
Vermont,VT,3,HARRY S TRUMAN,36.9,45557,THOMAS E. DEWEY,61.5,75926,1948
Maryland,MD,8,HARRY S TRUMAN,48,286521,THOMAS E. DEWEY,49.4,294814,1948
Oregon,OR,6,HARRY S TRUMAN,46.4,243147,THOMAS E. DEWEY,49.8,260904,1948
Kentucky,KY,10,ADLAI E. STEVENSON,49.9,495729,DWIGHT D. EISENHOWER,49.8,495029,1952
West Virginia,WV,8,ADLAI E. STEVENSON,51.9,453578,DWIGHT D. EISENHOWER,48.1,419970,1952
Arkansas,AR,8,ADLAI E. STEVENSON,55.9,226300,DWIGHT D. EISENHOWER,43.8,177155,1952
North Carolina,NC,14,ADLAI E. STEVENSON,53.9,652803,DWIGHT D. EISENHOWER,46.1,558107,1952
Georgia,GA,12,ADLAI E. STEVENSON,69.7,456823,DWIGHT D. EISENHOWER,30.3,198961,1952
South Carolina,SC,8,ADLAI E. STEVENSON,50.7,173004,DWIGHT D. EISENHOWER,2.9,9793,1952
Louisiana,LA,10,ADLAI E. STEVENSON,52.9,345027,DWIGHT D. EISENHOWER,47.1,306925,1952
Mississippi,MS,8,ADLAI E. STEVENSON,60.4,172566,DWIGHT D. EISENHOWER,39.6,112966,1952
Alabama,AL,11,ADLAI E. STEVENSON,64.6,275075,DWIGHT D. EISENHOWER,35,149231,1952
Minnesota,MN,11,ADLAI E. STEVENSON,44.1,608458,DWIGHT D. EISENHOWER,55.3,763211,1952
Wisconsin,WI,12,ADLAI E. STEVENSON,38.7,622175,DWIGHT D. EISENHOWER,61,979744,1952
Illinois,IL,27,ADLAI E. STEVENSON,44.9,2013920,DWIGHT D. EISENHOWER,54.8,2457327,1952
Iowa,IA,10,ADLAI E. STEVENSON,35.6,451513,DWIGHT D. EISENHOWER,63.8,808906,1952
Ohio,OH,25,ADLAI E. STEVENSON,43.2,1600367,DWIGHT D. EISENHOWER,56.8,2100391,1952
Missouri,MO,13,ADLAI E. STEVENSON,49.1,929830,DWIGHT D. EISENHOWER,50.7,959429,1952
North Dakota,ND,4,ADLAI E. STEVENSON,28.4,76694,DWIGHT D. EISENHOWER,71,191712,1952
Michigan,MI,20,ADLAI E. STEVENSON,44,1230657,DWIGHT D. EISENHOWER,55.4,1551529,1952
South Dakota,SD,4,ADLAI E. STEVENSON,30.7,90426,DWIGHT D. EISENHOWER,69.3,203857,1952
Indiana,IN,13,ADLAI E. STEVENSON,41,801530,DWIGHT D. EISENHOWER,58.1,1136259,1952
Nebraska,NE,6,ADLAI E. STEVENSON,30.8,188057,DWIGHT D. EISENHOWER,69.2,421603,1952
Kansas,KS,8,ADLAI E. STEVENSON,30.5,273296,DWIGHT D. EISENHOWER,68.8,616302,1952
Rhode Island,RI,4,ADLAI E. STEVENSON,49,203293,DWIGHT D. EISENHOWER,50.9,210935,1952
Massachusetts,MA,16,ADLAI E. STEVENSON,45.5,1083525,DWIGHT D. EISENHOWER,54.2,1292325,1952
Maine,ME,5,ADLAI E. STEVENSON,33.8,118806,DWIGHT D. EISENHOWER,66,232353,1952
Vermont,VT,3,ADLAI E. STEVENSON,28.2,43355,DWIGHT D. EISENHOWER,71.5,109717,1952
New Hampshire,NH,4,ADLAI E. STEVENSON,39.1,106663,DWIGHT D. EISENHOWER,60.9,166287,1952
New York,NY,45,ADLAI E. STEVENSON,43.6,3104601,DWIGHT D. EISENHOWER,55.5,3952813,1952
Pennsylvania,PA,32,ADLAI E. STEVENSON,46.9,2146269,DWIGHT D. EISENHOWER,52.7,2415789,1952
New Jersey,NJ,16,ADLAI E. STEVENSON,42,1015902,DWIGHT D. EISENHOWER,56.8,1373613,1952
Connecticut,CT,8,ADLAI E. STEVENSON,43.9,481649,DWIGHT D. EISENHOWER,55.7,611012,1952
Delaware,DE,3,ADLAI E. STEVENSON,47.9,83315,DWIGHT D. EISENHOWER,51.8,90059,1952
Virginia,VA,12,ADLAI E. STEVENSON,43.4,268677,DWIGHT D. EISENHOWER,56.3,349037,1952
Tennessee,TN,11,ADLAI E. STEVENSON,49.7,443710,DWIGHT D. EISENHOWER,50,446147,1952
Oklahoma,OK,8,ADLAI E. STEVENSON,45.4,430939,DWIGHT D. EISENHOWER,54.6,518045,1952
Texas,TX,24,ADLAI E. STEVENSON,46.7,969228,DWIGHT D. EISENHOWER,53.1,1102878,1952
Florida,FL,10,ADLAI E. STEVENSON,45,444950,DWIGHT D. EISENHOWER,55,544036,1952
Maryland,MD,9,ADLAI E. STEVENSON,43.8,395337,DWIGHT D. EISENHOWER,55.4,499424,1952
Washington,WA,9,ADLAI E. STEVENSON,44.7,492845,DWIGHT D. EISENHOWER,54.3,599107,1952
Montana,MT,4,ADLAI E. STEVENSON,40.1,106213,DWIGHT D. EISENHOWER,59.4,157394,1952
Idaho,ID,4,ADLAI E. STEVENSON,34.4,95081,DWIGHT D. EISENHOWER,65.4,180707,1952
Wyoming,WY,3,ADLAI E. STEVENSON,37.1,47934,DWIGHT D. EISENHOWER,62.7,81049,1952
Nevada,NV,3,ADLAI E. STEVENSON,38.6,31688,DWIGHT D. EISENHOWER,61.4,50502,1952
Colorado,CO,6,ADLAI E. STEVENSON,39,245504,DWIGHT D. EISENHOWER,60.3,379782,1952
California,CA,32,ADLAI E. STEVENSON,42.7,2197548,DWIGHT D. EISENHOWER,56.3,2897310,1952
Utah,UT,4,ADLAI E. STEVENSON,41.1,135364,DWIGHT D. EISENHOWER,58.9,194190,1952
Arizona,AZ,4,ADLAI E. STEVENSON,41.7,108528,DWIGHT D. EISENHOWER,58.3,152042,1952
New Mexico,NM,4,ADLAI E. STEVENSON,44.3,105661,DWIGHT D. EISENHOWER,55.4,132170,1952
Oregon,OR,6,ADLAI E. STEVENSON,38.9,270579,DWIGHT D. EISENHOWER,60.5,420815,1952
Missouri,MO,13,ADLAI E. STEVENSON,50.1,918273,DWIGHT D. EISENHOWER,49.9,914289,1956
Arkansas,AR,8,ADLAI E. STEVENSON,52.5,213277,DWIGHT D. EISENHOWER,45.8,186287,1956
North Carolina,NC,14,ADLAI E. STEVENSON,50.7,590530,DWIGHT D. EISENHOWER,49.3,575062,1956
South Carolina,SC,8,ADLAI E. STEVENSON,45.4,136372,DWIGHT D. EISENHOWER,25.2,75700,1956
Mississippi,MS,8,ADLAI E. STEVENSON,58.2,144453,DWIGHT D. EISENHOWER,24.5,60685,1956
Alabama,AL,10,ADLAI E. STEVENSON,56.5,280844,DWIGHT D. EISENHOWER,39.4,195694,1956
Georgia,GA,12,ADLAI E. STEVENSON,66.4,444688,DWIGHT D. EISENHOWER,33.3,222778,1956
North Dakota,ND,4,ADLAI E. STEVENSON,38.1,96742,DWIGHT D. EISENHOWER,61.7,156766,1956
Minnesota,MN,11,ADLAI E. STEVENSON,46.1,617525,DWIGHT D. EISENHOWER,53.7,719302,1956
Wisconsin,WI,12,ADLAI E. STEVENSON,37.8,586768,DWIGHT D. EISENHOWER,61.6,954844,1956
Michigan,MI,20,ADLAI E. STEVENSON,44.1,1359898,DWIGHT D. EISENHOWER,55.6,1713647,1956
Illinois,IL,27,ADLAI E. STEVENSON,40.3,1775682,DWIGHT D. EISENHOWER,59.5,2623327,1956
South Dakota,SD,4,ADLAI E. STEVENSON,41.6,122288,DWIGHT D. EISENHOWER,58.4,171569,1956
Iowa,IA,10,ADLAI E. STEVENSON,40.7,501858,DWIGHT D. EISENHOWER,59.1,729187,1956
Indiana,IN,13,ADLAI E. STEVENSON,39.7,783908,DWIGHT D. EISENHOWER,59.9,1182811,1956
Ohio,OH,25,ADLAI E. STEVENSON,38.9,1439655,DWIGHT D. EISENHOWER,61.1,2262610,1956
Nebraska,NE,6,ADLAI E. STEVENSON,34.5,199029,DWIGHT D. EISENHOWER,65.5,378108,1956
Kansas,KS,8,ADLAI E. STEVENSON,34.2,296317,DWIGHT D. EISENHOWER,65.4,566878,1956
Maine,ME,5,ADLAI E. STEVENSON,29.1,102468,DWIGHT D. EISENHOWER,70.9,249238,1956
Vermont,VT,3,ADLAI E. STEVENSON,27.8,42549,DWIGHT D. EISENHOWER,72.2,110390,1956
New Hampshire,NH,4,ADLAI E. STEVENSON,33.8,90364,DWIGHT D. EISENHOWER,66.1,176519,1956
New York,NY,45,ADLAI E. STEVENSON,38.7,2747944,DWIGHT D. EISENHOWER,61.2,4345506,1956
Rhode Island,RI,4,ADLAI E. STEVENSON,41.7,161790,DWIGHT D. EISENHOWER,58.3,225819,1956
Massachusetts,MA,16,ADLAI E. STEVENSON,40.4,948190,DWIGHT D. EISENHOWER,59.3,1393197,1956
Pennsylvania,PA,32,ADLAI E. STEVENSON,43.3,1981769,DWIGHT D. EISENHOWER,56.5,2585252,1956
New Jersey,NJ,16,ADLAI E. STEVENSON,34.2,850337,DWIGHT D. EISENHOWER,64.7,1606942,1956
Connecticut,CT,8,ADLAI E. STEVENSON,36.3,405079,DWIGHT D. EISENHOWER,63.7,711837,1956
Delaware,DE,3,ADLAI E. STEVENSON,44.6,79421,DWIGHT D. EISENHOWER,55.1,98057,1956
Kentucky,KY,10,ADLAI E. STEVENSON,45.2,476453,DWIGHT D. EISENHOWER,54.3,572192,1956
West Virginia,WV,8,ADLAI E. STEVENSON,45.9,381534,DWIGHT D. EISENHOWER,54.1,449297,1956
Louisiana,LA,10,ADLAI E. STEVENSON,39.5,243977,DWIGHT D. EISENHOWER,53.3,329047,1956
Maryland,MD,9,ADLAI E. STEVENSON,39.9,372613,DWIGHT D. EISENHOWER,60,559738,1956
Virginia,VA,12,ADLAI E. STEVENSON,38.4,267760,DWIGHT D. EISENHOWER,55.4,386459,1956
Tennessee,TN,11,ADLAI E. STEVENSON,48.6,456507,DWIGHT D. EISENHOWER,49.2,462288,1956
Oklahoma,OK,8,ADLAI E. STEVENSON,44.9,385581,DWIGHT D. EISENHOWER,55.1,473769,1956
Texas,TX,24,ADLAI E. STEVENSON,44,859958,DWIGHT D. EISENHOWER,55.3,1080619,1956
Florida,FL,10,ADLAI E. STEVENSON,42.7,480371,DWIGHT D. EISENHOWER,57.2,643849,1956
Washington,WA,9,ADLAI E. STEVENSON,45.4,523002,DWIGHT D. EISENHOWER,53.9,620430,1956
Montana,MT,4,ADLAI E. STEVENSON,42.9,116238,DWIGHT D. EISENHOWER,57.1,154933,1956
Idaho,ID,4,ADLAI E. STEVENSON,38.8,105868,DWIGHT D. EISENHOWER,61.2,166979,1956
Wyoming,WY,3,ADLAI E. STEVENSON,39.9,49554,DWIGHT D. EISENHOWER,60.1,74573,1956
Oregon,OR,6,ADLAI E. STEVENSON,44.7,329204,DWIGHT D. EISENHOWER,55.2,406393,1956
Nevada,NV,3,ADLAI E. STEVENSON,42,40640,DWIGHT D. EISENHOWER,58,56049,1956
Colorado,CO,6,ADLAI E. STEVENSON,39.3,257997,DWIGHT D. EISENHOWER,60,394479,1956
California,CA,32,ADLAI E. STEVENSON,44.3,2420135,DWIGHT D. EISENHOWER,55.4,3027668,1956
Utah,UT,4,ADLAI E. STEVENSON,35.4,118364,DWIGHT D. EISENHOWER,64.6,215631,1956
Arizona,AZ,4,ADLAI E. STEVENSON,38.9,112880,DWIGHT D. EISENHOWER,61,176990,1956
New Mexico,NM,4,ADLAI E. STEVENSON,41.8,106098,DWIGHT D. EISENHOWER,57.8,146788,1956
Alabama,AL,11,JOHN F KENNEDY,56.39,"318,303",RICHARD NIXON,42.16,"237,981",1960
Alaska,AK,3,JOHN F KENNEDY,49.06,"29,809",RICHARD NIXON,50.94,"30,953",1960
Arizona,AZ,4,JOHN F KENNEDY,44.36,"176,781",RICHARD NIXON,55.52,"221,241",1960
Arkansas,AR,8,JOHN F KENNEDY,50.19,"215,049",RICHARD NIXON,43.06,"184,508",1960
